,name,country,region,Population (millions),revision_id,article_quality
73,Abdul Karim Misaq,Afghanistan,SOUTH ASIA,41.1,1052669338,Stub
74,Ali Mohammad (politician),Afghanistan,SOUTH ASIA,41.1,1050463798,Stub
75,Nasruddin Mohseni,Afghanistan,SOUTH ASIA,41.1,1095044526,Start
76,Davood Moradian,Afghanistan,SOUTH ASIA,41.1,1106284627,Stub
77,Zalmai Mujadidi,Afghanistan,SOUTH ASIA,41.1,1104635001,Start
78,Fazal Haq Mujahid,Afghanistan,SOUTH ASIA,41.1,1113267490,C
79,Rahmatullah Nabil,Afghanistan,SOUTH ASIA,41.1,1112496538,Start
80,Sardar Mohammad Nadir Naeem,Afghanistan,SOUTH ASIA,41.1,1038680015,Stub
81,Daoud Naji,Afghanistan,SOUTH ASIA,41.1,1110983467,Start
82,Gholam Rabani Nasher,Afghanistan,SOUTH ASIA,41.1,916899472,Stub
83,Muhammad Yunus Nawandish,Afghanistan,SOUTH ASIA,41.1,1111494390,C
84,Ali Maisam Nazary,Afghanistan,SOUTH ASIA,41.1,1107279930,Start
85,Ghulam Faroq Nijrabi,Afghanistan,SOUTH ASIA,41.1,1093612575,Stub
86,Zabih-U-llah Ghazi Noristani,Afghanistan,SOUTH ASIA,41.1,1001786762,Start
87,Mohammed Tahir Omar,Afghanistan,SOUTH ASIA,41.1,996093541,Stub
88,Nasrin Oryakhil,Afghanistan,SOUTH ASIA,41.1,1097277701,Start
89,Murad Quenili,Afghanistan,SOUTH ASIA,41.1,1093963498,Stub
90,Ghulam Mohammad Rigi,Afghanistan,SOUTH ASIA,41.1,918256992,Stub
91,Ghulam Hassan Safi,Afghanistan,SOUTH ASIA,41.1,987269301,Stub
92,Hanifa Safi,Afghanistan,SOUTH ASIA,41.1,994195074,Stub
93,Amrullah Saleh,Afghanistan,SOUTH ASIA,41.1,1115022704,FA
94,Mohammed Zia Salehi,Afghanistan,SOUTH ASIA,41.1,889806024,Stub
95,Abdul Majid Samim,Afghanistan,SOUTH ASIA,41.1,1098092701,Stub
96,Saber Sangar,Afghanistan,SOUTH ASIA,41.1,1019860497,Stub
97,Muhammad Arif Sarwari,Afghanistan,SOUTH ASIA,41.1,1079170926,Start
98,Sayed Nasim Mihanparast,Afghanistan,SOUTH ASIA,41.1,1115496635,Stub
