,name,country,region,Population (millions),revision_id,article_quality
1330,Bernardo Guerra Serna,Colombia,SOUTH AMERICA,49.1,1098592157,Stub
1331,Carlos Mauro Hoyos,Colombia,SOUTH AMERICA,49.1,1093469494,C
1332,Augusto Ibáñez Guzmán,Colombia,SOUTH AMERICA,49.1,1110600534,Start
1333,Gilma Jiménez,Colombia,SOUTH AMERICA,49.1,1069225684,Stub
1334,Roberto Junguito,Colombia,SOUTH AMERICA,49.1,1101933538,Stub
1335,Maria Claudia Lacouture,Colombia,SOUTH AMERICA,49.1,967534978,Start
1336,Rodrigo Lara,Colombia,SOUTH AMERICA,49.1,1108143692,C
1337,Rodrigo Hernán Lloreda Caicedo,Colombia,SOUTH AMERICA,49.1,1098157236,Start
1338,Francisco José Lloreda Mera,Colombia,SOUTH AMERICA,49.1,1098157353,C
1339,Fernando Londoño,Colombia,SOUTH AMERICA,49.1,1108751103,Start
1340,Jorge Eduardo Londoño,Colombia,SOUTH AMERICA,49.1,1106087943,Stub
1341,Lorenzo Muelas,Colombia,SOUTH AMERICA,49.1,1108518143,Start
1342,David Luna Sánchez,Colombia,SOUTH AMERICA,49.1,1105236330,Stub
1343,Iván Marulanda,Colombia,SOUTH AMERICA,49.1,1099901662,Start
1344,Carlos Eduardo Medellín Becerra,Colombia,SOUTH AMERICA,49.1,1101582912,Start
1345,Germán Montoya Vélez,Colombia,SOUTH AMERICA,49.1,1028093034,Stub
1346,Narciso Matus Torres,Colombia,SOUTH AMERICA,49.1,1093468993,Stub
1347,Elsa Noguera,Colombia,SOUTH AMERICA,49.1,1113697578,Stub
1348,Antonio Ordoñez-Plaja,Colombia,SOUTH AMERICA,49.1,1069205558,Stub
1349,Fernando Ospina Hernández,Colombia,SOUTH AMERICA,49.1,1099438511,Stub
1350,Enrique Parejo González,Colombia,SOUTH AMERICA,49.1,1102081415,Stub
1351,Carlos Pizarro Leongómez,Colombia,SOUTH AMERICA,49.1,1110236454,C
1352,Daniel Quintero,Colombia,SOUTH AMERICA,49.1,1097150360,C
1353,Juan Camilo Quintero,Colombia,SOUTH AMERICA,49.1,1015926064,Stub
1354,Manuel María Ramírez Fortoul,Colombia,SOUTH AMERICA,49.1,1009609097,Start
1355,Juan José Reyes-Patria Escobar,Colombia,SOUTH AMERICA,49.1,1110346302,C
1356,Jorge Enrique Robledo,Colombia,SOUTH AMERICA,49.1,1104503680,Start
1357,Ángela Robledo,Colombia,SOUTH AMERICA,49.1,1101671356,Start
1358,Antonio Roldán Betancur,Colombia,SOUTH AMERICA,49.1,1091776306,Start
1359,Gabriel Camargo Salamanca,Colombia,SOUTH AMERICA,49.1,1115402463,Start
1360,Juana de J. Sarmiento,Colombia,SOUTH AMERICA,49.1,1057118875,Start
1361,Yaneth Giha Tovar,Colombia,SOUTH AMERICA,49.1,1109010810,Stub
1362,Eduardo Valencia Ospina,Colombia,SOUTH AMERICA,49.1,1112726542,Start
1363,José María Vergara y Vergara,Colombia,SOUTH AMERICA,49.1,1069225799,Start
1364,Luis Villar Borda,Colombia,SOUTH AMERICA,49.1,1098170341,Stub
1365,Luis Carlos Villegas Echeverri,Colombia,SOUTH AMERICA,49.1,1039895903,Stub
1366,Mouzawar Abdallah,Comoros,EASTERN AFRICA,0.8,1045629825,Stub
1367,Moustadroine Abdou,Comoros,EASTERN AFRICA,0.8,1112938235,Stub
1368,Ibrahim Aboubacar,Comoros,EASTERN AFRICA,0.8,1104075788,Start
1369,Mohamed Ahmed-Chamanga,Comoros,EASTERN AFRICA,0.8,962865723,Stub
1370,Saïd Ibrahim Ben Ali,Comoros,EASTERN AFRICA,0.8,1051416555,Start
1371,Mohamed Bacar,Comoros,EASTERN AFRICA,0.8,1045488214,C
1372,Chamina Ben Mohamed,Comoros,EASTERN AFRICA,0.8,1091671184,Stub
1373,Saïd Mohamed Cheikh,Comoros,EASTERN AFRICA,0.8,1036446434,Start
1374,Mohamed Dahalani,Comoros,EASTERN AFRICA,0.8,1070905174,Stub
1375,Dawiat Mohamed,Comoros,EASTERN AFRICA,0.8,1112068629,Stub
1376,Ahmed Ben Said Djaffar,Comoros,EASTERN AFRICA,0.8,1103330010,Stub
1377,Abdou Soulé Elbak,Comoros,EASTERN AFRICA,0.8,1039771007,Stub
1378,Fahmi Said Ibrahim,Comoros,EASTERN AFRICA,0.8,936630092,Stub
1379,Gaston Feuillard,Comoros,EASTERN AFRICA,0.8,906903655,Stub
1380,Siti Kassim,Comoros,EASTERN AFRICA,0.8,1112069104,Start
1381,Said Ali Kemal,Comoros,EASTERN AFRICA,0.8,1054672013,Start
1382,Sittou Raghadat Mohamed,Comoros,EASTERN AFRICA,0.8,1069963767,Start
1383,Djaffar Ahmed Said,Comoros,EASTERN AFRICA,0.8,1112420866,Stub
1384,Abdallah Said Sarouma,Comoros,EASTERN AFRICA,0.8,1043132737,Stub
1385,Moussa Toybou,Comoros,EASTERN AFRICA,0.8,790006774,Stub
1386,Léon Angor,Congo,MIDDLE AFRICA,6.0,1077197673,Start
1387,Joseph Badiabio,Congo,MIDDLE AFRICA,6.0,1034243441,Start
1388,Frédéric Bintsamou,Congo,MIDDLE AFRICA,6.0,1058667713,Start
1389,Jean-Jacques Bouya,Congo,MIDDLE AFRICA,6.0,1105758730,C
1390,Anatole Collinet Makosso,Congo,MIDDLE AFRICA,6.0,1103554666,Start
1391,Edgard Diafouka-Bambela,Congo,MIDDLE AFRICA,6.0,1106259287,Start
1392,Fidèle Dimou,Congo,MIDDLE AFRICA,6.0,1106164994,Start
1393,Gabriel Entcha-Ebia,Congo,MIDDLE AFRICA,6.0,1106165202,Start
1394,Gabriel Valère Eteka Yemet,Congo,MIDDLE AFRICA,6.0,1099409330,Start
1395,Albert Fourvelle,Congo,MIDDLE AFRICA,6.0,826516065,Stub
1396,Pascal Gamassa,Congo,MIDDLE AFRICA,6.0,1058791873,C
1397,Pierre Goura,Congo,MIDDLE AFRICA,6.0,1093895340,Start
1398,Gustave Aba-Gandzion,Congo,MIDDLE AFRICA,6.0,1109342095,Stub
1399,Joseph Hondjuila Miokono,Congo,MIDDLE AFRICA,6.0,1110821843,Start
1400,André Kerhervé,Congo,MIDDLE AFRICA,6.0,938502932,Stub
1401,Pierre Mabiala,Congo,MIDDLE AFRICA,6.0,1103554982,C
1402,Alice Mahoungou,Congo,MIDDLE AFRICA,6.0,1045092171,Stub
1403,Paulin Makaya,Congo,MIDDLE AFRICA,6.0,1112682469,C
1404,Jean-Pierre Makouta-Mboukou,Congo,MIDDLE AFRICA,6.0,1043693914,C
1405,Jean Malonga,Congo,MIDDLE AFRICA,6.0,1079975770,Stub
1406,André Matsoua,Congo,MIDDLE AFRICA,6.0,1112277858,Start
1407,Ferdinand Mbahou,Congo,MIDDLE AFRICA,6.0,1016976234,Start
1408,Justin Mikolo-Kinzonzi,Congo,MIDDLE AFRICA,6.0,1110228735,Start
1409,Bonaventure Mizidy,Congo,MIDDLE AFRICA,6.0,976591922,Stub
1410,Émile Mokoko Wongolo,Congo,MIDDLE AFRICA,6.0,1106513766,Start
1411,Jean-Marie Mokoko,Congo,MIDDLE AFRICA,6.0,1084934250,C
1412,René-Dambert Ndouane,Congo,MIDDLE AFRICA,6.0,934383492,C
1413,Jean-Dominique Okemba,Congo,MIDDLE AFRICA,6.0,1080590362,C
1414,Denis-Christel Sassou Nguesso,Congo,MIDDLE AFRICA,6.0,1112420082,C
1415,Arlette Soudan-Nonault,Congo,MIDDLE AFRICA,6.0,1112681568,Start
1416,Jean Félix Demba Telo,Congo,MIDDLE AFRICA,6.0,1106155664,Stub
1417,Abel Thauley-Ganga,Congo,MIDDLE AFRICA,6.0,1108165600,Stub
1418,Georges Yhambot,Congo,MIDDLE AFRICA,6.0,1109906450,Stub
1419,Jean Andeka,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1053665857,Stub
1420,Daniel Aselo Okito,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1100883853,Stub
1421,Bertrand Bisimwa,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1053663824,Start
1422,Adam Bombolé,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1104298921,Stub
1423,Célestin Cibalonza Byaterana,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1053664162,Stub
1424,Martin Parfait Aimé Coussoud-Mavoungou,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1097239808,Start
1425,Emmanuel Dungia,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1060647113,C
1426,Ferdinand Essandja,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,995332258,Stub
1427,Lugi Gizenga,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1107018797,Start
1428,Clovis Kabongo Malemba,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1053664088,Stub
1429,Odilon Kafitwe wa pa Bowa,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1063619600,Stub
1430,François Nicéphore Kakese,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1053664863,Stub
1431,Kalenga Riziki Lwango II,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1054264870,Start
1432,Jean Collins Musonda Kalusambo,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1053665874,Stub
1433,Norman Kamosi,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1066002475,Stub
1434,Oscar Kashala,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1087269353,Start
1435,Banyingela Kasonga,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1112278142,Start
1436,Pierre Honoré Kazadi Lukonda Ngube-Ngube,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1002487446,Stub
1437,Jacques Kazadi,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1102558299,Start
1438,Léon Kengo wa Dondo,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1084896531,C
1439,Robert Kidiaba,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1105743947,Start
1440,Seth Kikuni,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1001659466,Stub
1441,Jean-Pierre Lola Kisanga,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1108329438,Stub
1442,Delphin Kyubwa,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1053664236,Stub
1443,Gabriel Kyungu wa Kumwanza,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1099410445,Start
1444,Eric Lenge,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1053664625,Start
1445,Faustin Luanga,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1086274369,C
1446,Guy-Patrice Lumumba,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1086692776,Stub
1447,Sultani Makenga,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1097897658,Start
1448,Angèle Makombo,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1081392396,Stub
1449,Christian Malanga,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1106277637,C
1450,Franck Mwe di Malila,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1053664857,C
1451,Anne Mbusu,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1101655545,Start
1452,Munga Mibindo,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1058408130,Stub
1453,Emile Mota,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1106209048,Start
1454,Josué Alex Mukendi,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1053666052,Stub
1455,Daniel Mukoko Samba,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1106989449,Start
1456,Paul-Joseph Mukungubila,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1105617422,C
1457,Medard Mulangala,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1101726096,C
1458,Didier Mumengi,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1074734394,C
1459,Kasongo Munganga,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1105966047,C
1460,Jean-Claude Kazembe Musonda,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1098805559,Stub
1461,Jules Mutebusi,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1092041837,Start
1462,Laurent Nkunda,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1082692191,C
1463,Victor Promontorio,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1087110784,Start
1464,Jean-Marie Runiga,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1053665820,Start
1465,Alain Daniel Shekomba,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1104802428,Stub
1466,Koloso Sumaili,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1053666295,Stub
1467,Noël K. Tshiani Muadiamvita,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1108163676,C
1468,Emery Wafwana,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1092371503,Start
1469,Emmanuel Weyi,"Congo, Dem. Rep.",MIDDLE AFRICA,99.0,1114586215,Start
1470,Florentino Alfaro Zamora,Costa Rica,CENTRAL AMERICA,5.2,956286846,Stub
1471,Alejandro Alvarado García,Costa Rica,CENTRAL AMERICA,5.2,1003975565,Stub
1472,Antonio Saldaña,Costa Rica,CENTRAL AMERICA,5.2,1093440482,Start
1473,Armando Aráuz Aguilar,Costa Rica,CENTRAL AMERICA,5.2,1096079605,Stub
1474,Birche,Costa Rica,CENTRAL AMERICA,5.2,953393149,Stub
1475,Tranquilino de Bonilla y Herdocia,Costa Rica,CENTRAL AMERICA,5.2,1076002437,Stub
1476,Juan José de Bonilla y Herdocia,Costa Rica,CENTRAL AMERICA,5.2,956293523,Stub
1477,Miguel de Bonilla y Laya-Bolívar,Costa Rica,CENTRAL AMERICA,5.2,1049728557,Start
1478,Stephan Brunner,Costa Rica,CENTRAL AMERICA,5.2,1103928769,Stub
1479,Florencio del Castillo,Costa Rica,CENTRAL AMERICA,5.2,1069435039,Start
1480,Paola Vega Castillo,Costa Rica,CENTRAL AMERICA,5.2,1107984404,Stub
1481,Ramón Castro y Ramírez,Costa Rica,CENTRAL AMERICA,5.2,956293548,Stub
1482,Ricardo Castro Beeche,Costa Rica,CENTRAL AMERICA,5.2,1099192652,Stub
1483,Teodoro Willink Castro,Costa Rica,CENTRAL AMERICA,5.2,1108137810,Stub
1484,José Joaquín Chaverri Sievert,Costa Rica,CENTRAL AMERICA,5.2,956297870,Stub
1485,José Miguel Corrales Bolaños,Costa Rica,CENTRAL AMERICA,5.2,1106097216,Stub
1486,Correque,Costa Rica,CENTRAL AMERICA,5.2,1060409498,Start
1487,Aquileo J. Echeverría,Costa Rica,CENTRAL AMERICA,5.2,1077703728,Start
1488,El Guarco,Costa Rica,CENTRAL AMERICA,5.2,982203872,Start
1489,Narciso Esquivel y Salazar,Costa Rica,CENTRAL AMERICA,5.2,956293456,Stub
1490,Alberto Fait Lizano,Costa Rica,CENTRAL AMERICA,5.2,1095090935,Stub
1491,Gerardo Gómez Ramírez,Costa Rica,CENTRAL AMERICA,5.2,942924505,Stub
1492,Joaquín Gutiérrez,Costa Rica,CENTRAL AMERICA,5.2,1054520061,C
1493,Gerardo Guzmán Quirós,Costa Rica,CENTRAL AMERICA,5.2,956298558,Stub
1494,Joaquín de Iglesias Vidamartel,Costa Rica,CENTRAL AMERICA,5.2,956293531,Stub
1495,Bernal Jiménez Monge,Costa Rica,CENTRAL AMERICA,5.2,1099703699,Stub
1496,Ramón Jiménez y Robredo,Costa Rica,CENTRAL AMERICA,5.2,956297739,Stub
1497,King Garabito,Costa Rica,CENTRAL AMERICA,5.2,953412068,Start
1498,Pedro María León-Páez y Brown,Costa Rica,CENTRAL AMERICA,5.2,1060701173,Stub
1499,Óscar López (politician),Costa Rica,CENTRAL AMERICA,5.2,1108071893,Stub
1500,Juan de los Santos Madriz y Cervantes,Costa Rica,CENTRAL AMERICA,5.2,979296974,Stub
1501,Marvin Calvo Montoya,Costa Rica,CENTRAL AMERICA,5.2,1112206196,Stub
1502,Félix Arcadio Montero Monge,Costa Rica,CENTRAL AMERICA,5.2,1097535044,Stub
1503,Sonia Marta Mora Escalante,Costa Rica,CENTRAL AMERICA,5.2,1082026885,Stub
1504,José Joaquín Mora Porras,Costa Rica,CENTRAL AMERICA,5.2,1066725232,Stub
1505,Mary Munive,Costa Rica,CENTRAL AMERICA,5.2,1103929222,Stub
1506,Rafael Moya Murillo,Costa Rica,CENTRAL AMERICA,5.2,956297821,Stub
1507,María Teresa Obregón Zamora,Costa Rica,CENTRAL AMERICA,5.2,1062414934,C
1508,Juan de Obregón y Espinosa,Costa Rica,CENTRAL AMERICA,5.2,1111778447,Start
1509,Rodrigo Oreamuno Blanco,Costa Rica,CENTRAL AMERICA,5.2,1090060729,Stub
1510,Joaquín de Oreamuno,Costa Rica,CENTRAL AMERICA,5.2,1096820977,GA
1511,Rafael Francisco Osejo,Costa Rica,CENTRAL AMERICA,5.2,1034464885,Start
1512,Pablo Presbere,Costa Rica,CENTRAL AMERICA,5.2,1094432381,C
1513,Eugenio Padilla Bonilla,Costa Rica,CENTRAL AMERICA,5.2,994446675,Stub
1514,Manuel María de Peralta y Alfaro,Costa Rica,CENTRAL AMERICA,5.2,1099780917,Start
1515,José María de Peralta,Costa Rica,CENTRAL AMERICA,5.2,1099735450,Start
1516,Manuel María de Peralta y López del Corral,Costa Rica,CENTRAL AMERICA,5.2,1076002485,Stub
1517,Cipriano Pérez y Arias,Costa Rica,CENTRAL AMERICA,5.2,1079012012,Stub
1518,Eusebio Prieto y Ruiz,Costa Rica,CENTRAL AMERICA,5.2,956293601,Stub
1519,Carmen Quesada Santamaría,Costa Rica,CENTRAL AMERICA,5.2,989893885,Stub
1520,José Pablo Quirós Quirós,Costa Rica,CENTRAL AMERICA,5.2,1068141997,Stub
1521,Gregorio José Ramírez,Costa Rica,CENTRAL AMERICA,5.2,1108030896,Start
1522,Rafael Ramírez Hidalgo,Costa Rica,CENTRAL AMERICA,5.2,1003975880,Stub
1523,Carlos Ricardo Benavides Jiménez,Costa Rica,CENTRAL AMERICA,5.2,1101826814,Stub
1524,Santiago Mayas,Costa Rica,CENTRAL AMERICA,5.2,1091891616,Start
1525,Siarke,Costa Rica,CENTRAL AMERICA,5.2,1040860121,Stub
1526,Tomás Enrique Soley Soler,Costa Rica,CENTRAL AMERICA,5.2,956286746,Stub
1527,José María Soto Alfaro,Costa Rica,CENTRAL AMERICA,5.2,1022937864,Start
1528,Ricardo Toledo Carranza,Costa Rica,CENTRAL AMERICA,5.2,1074320861,Stub
1529,Nazario Toledo,Costa Rica,CENTRAL AMERICA,5.2,956293527,Stub
1530,Marco Vinicio Vargas Pereira,Costa Rica,CENTRAL AMERICA,5.2,956297827,Stub
1531,Santos Velázquez y Tinoco,Costa Rica,CENTRAL AMERICA,5.2,956293472,Stub
1532,William Forbes (Talamancan king),Costa Rica,CENTRAL AMERICA,5.2,953571529,Stub
1533,Jean-Jacques Béchio,Cote d'Ivoire,WESTERN AFRICA,28.2,1097445644,Stub
1534,Kandia Camara,Cote d'Ivoire,WESTERN AFRICA,28.2,1103563722,Start
1535,Charles Koffi Diby,Cote d'Ivoire,WESTERN AFRICA,28.2,1108506945,Stub
1536,Étienne Djaument,Cote d'Ivoire,WESTERN AFRICA,28.2,1102789374,Stub
1537,Loubo Augustin Djessou,Cote d'Ivoire,WESTERN AFRICA,28.2,1055941458,Stub
1538,Laurent Dona Fologo,Cote d'Ivoire,WESTERN AFRICA,28.2,1114825081,Stub
1539,Michel Gueu,Cote d'Ivoire,WESTERN AFRICA,28.2,1107654367,C
1540,Marcel Zadi Kessy,Cote d'Ivoire,WESTERN AFRICA,28.2,1101937624,Start
1541,Kaba Nialé,Cote d'Ivoire,WESTERN AFRICA,28.2,1096406056,Start
1542,Sékou Sanogo,Cote d'Ivoire,WESTERN AFRICA,28.2,994546487,Stub
1543,Sidi Tiémoko Touré,Cote d'Ivoire,WESTERN AFRICA,28.2,1091776866,C
1544,Mato Arlović,Croatia,SOUTHERN EUROPE,3.8,995029235,Start
1545,Antun Augustinčić,Croatia,SOUTHERN EUROPE,3.8,1107956669,GA
1546,Jakov Blažević,Croatia,SOUTHERN EUROPE,3.8,1107642810,Stub
1547,Mirko Bogović,Croatia,SOUTHERN EUROPE,3.8,1111957117,Stub
1548,Zvonko Brkić,Croatia,SOUTHERN EUROPE,3.8,1079673510,Stub
1549,Andrija Torkvat Brlić,Croatia,SOUTHERN EUROPE,3.8,1115206658,GA
1550,Josip Broz Tito,Croatia,SOUTHERN EUROPE,3.8,1112945222,B
1551,Nadežda Čačinovič,Croatia,SOUTHERN EUROPE,3.8,1112933531,Start
1552,Melko Čingrija,Croatia,SOUTHERN EUROPE,3.8,1078887578,Start
1553,Pero Čingrija,Croatia,SOUTHERN EUROPE,3.8,1078888021,Start
1554,Juraj Demetrović,Croatia,SOUTHERN EUROPE,3.8,1080729797,Stub
1555,Luigi Frari,Croatia,SOUTHERN EUROPE,3.8,1065837770,Start
1556,Nikica Gabrić,Croatia,SOUTHERN EUROPE,3.8,1100953009,Stub
1557,Leon Geršković,Croatia,SOUTHERN EUROPE,3.8,1100856578,Start
1558,Pavle Gregorić,Croatia,SOUTHERN EUROPE,3.8,1010865645,Stub
1559,Hakija Hadžić,Croatia,SOUTHERN EUROPE,3.8,1078015152,Start
1560,Dragutin Haramija,Croatia,SOUTHERN EUROPE,3.8,1079673431,Stub
1561,Ernest Jelušić,Croatia,SOUTHERN EUROPE,3.8,1035465045,Start
1562,Emerik Josipović,Croatia,SOUTHERN EUROPE,3.8,1108439301,Stub
1563,Gejza Josipović,Croatia,SOUTHERN EUROPE,3.8,1017549423,Stub
1564,Radovan Juričić,Croatia,SOUTHERN EUROPE,3.8,1012985592,C
1565,Luka Kirac,Croatia,SOUTHERN EUROPE,3.8,1112003841,GA
1566,Rudi Kolak,Croatia,SOUTHERN EUROPE,3.8,1059610572,Start
1567,Stjepan Kovačević,Croatia,SOUTHERN EUROPE,3.8,972227393,Stub
1568,Josip Kregar,Croatia,SOUTHERN EUROPE,3.8,1022316460,Start
1569,Izidor Kršnjavi,Croatia,SOUTHERN EUROPE,3.8,1105361975,Start
1570,Šime Kurelić,Croatia,SOUTHERN EUROPE,3.8,1083761998,Start
1571,Ante Mandić,Croatia,SOUTHERN EUROPE,3.8,1104609731,Stub
1572,Vladimir Mažuranić,Croatia,SOUTHERN EUROPE,3.8,1070845254,Start
1573,Danijel Mileta,Croatia,SOUTHERN EUROPE,3.8,1063882247,Start
1574,Pavao Muhić,Croatia,SOUTHERN EUROPE,3.8,1009855661,Stub
1575,Francesco Neffat,Croatia,SOUTHERN EUROPE,3.8,1087585656,Start
1576,Fran Novljan,Croatia,SOUTHERN EUROPE,3.8,1086818268,Start
1577,Petar Pejačević,Croatia,SOUTHERN EUROPE,3.8,1021214490,Stub
1578,Kata Pejnović,Croatia,SOUTHERN EUROPE,3.8,1095342896,Start
1579,Ivo Pilar,Croatia,SOUTHERN EUROPE,3.8,1089349756,C
1580,Pero Pirker,Croatia,SOUTHERN EUROPE,3.8,1097968650,GA
1581,Svetozar Pribićević,Croatia,SOUTHERN EUROPE,3.8,1093904984,C
1582,Niko Pucić,Croatia,SOUTHERN EUROPE,3.8,1086466947,Start
1583,Rafael Pucić,Croatia,SOUTHERN EUROPE,3.8,1109480180,Stub
1584,Svetozar Rittig,Croatia,SOUTHERN EUROPE,3.8,1078580605,C
1585,Vjekoslav Servatzy,Croatia,SOUTHERN EUROPE,3.8,1085075271,Start
1586,Ivan Vilibor Sinčić,Croatia,SOUTHERN EUROPE,3.8,1107681809,Start
1587,Tadija Smičiklas,Croatia,SOUTHERN EUROPE,3.8,1090985499,C
1588,Vjekoslav Spinčić,Croatia,SOUTHERN EUROPE,3.8,1039143224,Start
1589,Predrag Štromar,Croatia,SOUTHERN EUROPE,3.8,1049187655,Start
1590,Josip Juraj Strossmayer,Croatia,SOUTHERN EUROPE,3.8,1111376276,C
1591,Ante Šupuk,Croatia,SOUTHERN EUROPE,3.8,1015900174,Start
1592,Đuro Šurmin,Croatia,SOUTHERN EUROPE,3.8,1031747692,Start
1593,Ljudevit Vukotinović,Croatia,SOUTHERN EUROPE,3.8,1081133614,Start
1594,Dragan Vulin,Croatia,SOUTHERN EUROPE,3.8,1031595837,Start
1595,Lordan Zafranović,Croatia,SOUTHERN EUROPE,3.8,1112298171,C
1596,Savo Zlatić,Croatia,SOUTHERN EUROPE,3.8,1019059043,C
1597,Ante Županović,Croatia,SOUTHERN EUROPE,3.8,1014125709,Stub
1598,Prime Ministers of Cuba,Cuba,CARIBBEAN,11.1,934437679,Stub
1599,President of Cuba,Cuba,CARIBBEAN,11.1,1112307334,C
1600,Ignacio Agramonte,Cuba,CARIBBEAN,11.1,1104193887,C
1601,Sebastian Arcos Bergnes,Cuba,CARIBBEAN,11.1,1111442114,C
1602,Gustavo Arcos,Cuba,CARIBBEAN,11.1,1064128904,Start
1603,Juan de Ayala y Escobar,Cuba,CARIBBEAN,11.1,1115775999,C
1604,Miguel Brugueras,Cuba,CARIBBEAN,11.1,1094840575,Stub
1605,Leopoldo Cancio,Cuba,CARIBBEAN,11.1,1018001652,Start
1606,Demetrio Castillo Duany,Cuba,CARIBBEAN,11.1,1078095226,Start
1607,Vicente Manuel de Céspedes,Cuba,CARIBBEAN,11.1,1067145473,C
1608,Manuel Cidre,Cuba,CARIBBEAN,11.1,1105881632,Start
1609,José María Coppinger,Cuba,CARIBBEAN,11.1,1080005445,GA
1610,Rafael Díaz-Balart,Cuba,CARIBBEAN,11.1,1106639409,Start
1611,Miguel Díaz-Canel,Cuba,CARIBBEAN,11.1,1115075784,GA
1612,Manuel Dorta-Duque,Cuba,CARIBBEAN,11.1,1114485837,C
1613,Carlos Fernández Gondín,Cuba,CARIBBEAN,11.1,1066670419,Start
1614,Orestes Ferrara,Cuba,CARIBBEAN,11.1,1070890875,C
1615,Francisco de Arango y Parreño,Cuba,CARIBBEAN,11.1,1112500039,Start
1616,Juan Carlos García Granda,Cuba,CARIBBEAN,11.1,1086881012,Stub
1617,Reinaldo García Zapata,Cuba,CARIBBEAN,11.1,1115738739,Stub
1618,Aurelio Hevia,Cuba,CARIBBEAN,11.1,1029493523,Stub
1619,Fernando Heydrich,Cuba,CARIBBEAN,11.1,1015959656,Start
1620,Alfredo Hornedo,Cuba,CARIBBEAN,11.1,1111245250,C
1621,Manuel Marrero Cruz,Cuba,CARIBBEAN,11.1,1112820527,Start
1622,Rubén Martínez Puente,Cuba,CARIBBEAN,11.1,1099829999,Stub
1623,Augusto Martínez Sánchez,Cuba,CARIBBEAN,11.1,1106597865,C
1624,Bartolomé Masó,Cuba,CARIBBEAN,11.1,1082014108,Start
1625,Ramón Meza y Suárez Inclán,Cuba,CARIBBEAN,11.1,1090136006,Start
1626,Rafael Montoro,Cuba,CARIBBEAN,11.1,1107203065,Stub
1627,Bartolomé Morales,Cuba,CARIBBEAN,11.1,1104171930,Start
1628,José Núñez de Cáceres,Cuba,CARIBBEAN,11.1,1090327585,GA
1629,Juan Vitalio Acuña Núñez,Cuba,CARIBBEAN,11.1,1007811203,Stub
1630,Enrique Oltuski,Cuba,CARIBBEAN,11.1,1033836396,Start
1631,Frank País,Cuba,CARIBBEAN,11.1,1088557022,C
1632,Juan Nepomuceno de Quesada,Cuba,CARIBBEAN,11.1,1104171943,C
1633,Luis Alberto Rodríguez López-Calleja,Cuba,CARIBBEAN,11.1,1104294016,Start
1634,"Salvador José de Muro, 2nd Marquis of Someruelos",Cuba,CARIBBEAN,11.1,1103383044,GA
